Facility,per_capita,total_cases,days_infected,per_day,ded_non,field_office,state,contract,operator,weighted_alos,weighted_adp,weighted_min,governor,senate,house,mask_mandate,county,county_pop,county_cases,county_cases_per100K,county_deaths,county_deaths_per100K
la palma correctional facility,0.6973465330466181,550,192,2.8645833333333335,Dedicated,Phoenix,Arizona,DIGSA,GOV,123.42399999999999,788.7040000000002,1064,Republican,Republican,Republican,0,Pinal,462789,42322,9145,612,132
stewart detention center,0.41978884621035617,480,186,2.5806451612903225,Dedicated,Atlanta,Georgia,DIGSA,CORECIVIC,53.352000000000004,1143.432,1600,Republican,Republican,Republican,0,Stewart,6621,763,11524,18,272
bluebonnet detention facility,1.2600995572454161,403,178,2.264044943820225,Non-Dedicated,Dallas,Texas,IGSA,MTC,38.104,319.816,750,Republican,Republican,Republican,212,Jones,20083,2681,13350,40,199
immigration centers of america - farmville,0.9554463259002052,339,171,1.9824561403508771,Dedicated,Washington D.C.,Virginia,DIGSA,ICA,154.43200000000002,354.808,500,Democratic,Democratic,Democratic,247,Prince Edward,22802,1709,7495,20,88
el paso service processing center,0.732653923328757,333,180,1.85,Dedicated,El Paso,Texas,SPC,GOV,20.04,454.512,600,Republican,Republican,Republican,212,El Paso,839238,113637,13540,2116,252
south texas ice processing center (pearsall),0.3254532558300464,301,177,1.7005649717514124,Dedicated,San Antonio,Texas,CDF,GEO,79.096,924.8639999999999,1350,Republican,Republican,Republican,212,Frio,20306,2392,11780,29,143
winn correctional center,0.34737351730815785,287,185,1.5513513513513513,Dedicated,New Orleans,Louisiana,DIGSA,GOV,104.136,826.1999999999999,946,Democratic,Republican,Republican,202,Winn,13904,1386,9968,36,259
eloy federal contract facility,0.3580785581030247,281,153,1.8366013071895424,Dedicated,Phoenix,Arizona,DIGSA,CORECIVIC,92.088,784.744,0,Republican,Republican,Republican,0,Pinal,462789,42322,9145,612,132
adelanto ice processing center,0.27484384797674205,270,153,1.7647058823529411,Dedicated,Los Angeles,California,DIGSA,GEO,127.112,982.3760000000001,1455,Democratic,Democratic,Democratic,227,San Bernardino,2180085,274429,12588,1839,84
montgomery processing center (houston),0.48189378844321235,267,180,1.4833333333333334,Dedicated,Houston,Texas,CDF,GOV,30.967999999999996,554.064,750,Republican,Republican,Republican,212,Montgomery,607391,39241,6461,383,63
york county prison,0.7142389810917498,262,190,1.3789473684210527,Non-Dedicated,Philadelphia,Pennsylvania,IGSA,GOV,68.464,366.82399999999996,500,Democratic,Republican,Republican,214,York,449058,32142,7158,634,141
port isabel detention center,0.4459457561414104,254,165,1.5393939393939393,Dedicated,San Antonio,Texas,SPC,GOV,14.496,569.576,800,Republican,Republican,Republican,212,Cameron,423163,35590,8410,1296,306
broward transitional center,0.5469486490813041,246,169,1.455621301775148,Dedicated,Miami,Florida,CDF,GEO,48.704,449.76800000000003,700,Republican,Republican,Republican,0,Broward,1952778,172864,8852,2092,107
alexandria staging facility,1.3173032673722964,229,153,1.4967320261437909,Dedicated,New Orleans,Louisiana,STAGING,GEO,3,173.84,748.8000000000001,Democratic,Republican,Republican,202,Rapides,129648,10710,8261,261,201
krome north service processing center,0.4753335823175907,224,186,1.2043010752688172,Dedicated,Miami,Florida,SPC,GOV,28.464,471.24800000000005,450,Republican,Republican,Republican,0,Miami-Dade,2716940,372120,13696,4874,179
otay mesa detention center (san diego cdf),0.34380673657968186,203,190,1.068421052631579,Dedicated,San Diego,California,CDF,CORECIVIC,105.568,590.448,974,Democratic,Democratic,Democratic,227,Imperial,181215,26160,14436,532,294
otero county processing center,0.4020044922406752,189,185,1.0216216216216216,Dedicated,El Paso,New Mexico,DIGSA,MTC,52.120000000000005,470.144,500,Democratic,Democratic,Democratic,260,Otero,67490,2876,4261,49,73
rio grande detention center,0.7536222488736184,186,121,1.537190082644628,Dedicated,San Antonio,Texas,USMS CDF,GEO,49.152,246.808,275,Republican,Republican,Republican,212,Webb,276652,40054,14478,553,200
houston contract detention facility,0.414860624965995,183,169,1.0828402366863905,Dedicated,Houston,Texas,CDF,CORECIVIC,41.016,441.112,750,Republican,Republican,Republican,212,Harris,4713325,317654,6739,4257,90
glades county detention center,0.5179754559322419,182,155,1.1741935483870967,Non-Dedicated,Miami,Florida,IGSA,GOV,65.872,351.36800000000005,0,Republican,Republican,Republican,0,Glades,13811,870,6299,13,94
aurora contract detention facility,0.47319766590676166,181,158,1.1455696202531647,Dedicated,Denver,Colorado,CDF,GEO,77.6,382.5040000000001,525,Democratic,Democratic,Democratic,195,Arapahoe,656590,45027,6858,615,94
prairieland detention facility,0.3548582459593475,150,183,0.819672131147541,Dedicated,Dallas,Texas,DIGSA,LASALLE,18.584,422.70399999999995,550,Republican,Republican,Republican,212,Johnson,175817,16483,9375,268,152
el valle detention facility,0.26494277236117003,130,148,0.8783783783783784,Non-Dedicated,San Antonio,Texas,IGSA,GOV,30.496000000000002,490.67199999999997,750,Republican,Republican,Republican,212,Hidalgo,868707,63551,7316,2427,279
richwood correctional center,0.32902918255678987,127,185,0.6864864864864865,Dedicated,New Orleans,Louisiana,DIGSA,GOV,93.86399999999999,385.98400000000004,677,Democratic,Republican,Republican,202,Ouachita,153279,17074,11139,374,244
catahoula correctional center,0.30773209206102925,119,180,0.6611111111111111,Non-Dedicated,New Orleans,Louisiana,IGSA,LASALLE,28.199999999999996,386.7,400,Democratic,Republican,Republican,202,Catahoula,9494,1026,10807,33,348
jackson parish correctional,0.24368123951111187,115,137,0.8394160583941606,Dedicated,New Orleans,Louisiana,DIGSA,GOV,111.64,471.928,751,Democratic,Republican,Republican,202,Jackson,15744,1635,10385,44,279
pulaski county detention center,1.040799333888426,110,185,0.5945945945945946,Non-Dedicated,Chicago,Illinois,IGSA,GOV,29.088,105.68800000000002,0,Democratic,Democratic,Democratic,275,Pulaski,5335,646,12109,3,56
